1196,40,200
1197,M Sport,200
1198,M Sport Pro,200
1199,M60,200
1200,Sport Edition,200
1201,50,201
1202,60,201
1203,Excellence,201
1204,M Sport,201
1205,M70e,201
1206,Protonic Dark Silver Edition,202
1207,Protonic Frozen Black Edition,202
1208,40,204
1209,45,204
1210,50,204
1211,M Sport,204
1212,M Sport Edition,204
1213,M60,204
1214,Sport,204
1215,20,205
1216,30,205
1217,M Sport,205
1218,Shadow Edition,205
1219,Sport,205
1220,xLine,205
1221,20,206
1222,30,206
1223,M Sport,206
1224,Shadow Edition,206
1225,M Sport,207
1226,M Sport Pro,207
1227,Premier Edition,207
1228,Premier Edition Pro,207
1229,BiTurbo,208
1230,CS,208
1231,Competition,208
1232,i,208
1233,30 Jahre Edition,209
1234,Alpine,209
1235,BiTurbo,209
1236,CS,209
1237,Competition,209
1238,Evolution,209
1239,Evolution II,209
1240,Frozen Silver Edition,209
1241,Limited Edition 500,209
1242,Monte Carlo,209
1243,Sport Evolution,209
1244,V8,209
1245,i,209
1246,iV8,209
1247,BiTurbo,210
1248,CS,210
1249,CSL,210
1250,Competition,210
1251,DTM,210
1252,GTS,210
1253,Heritage Edition,210
1254,30 Jahre Edition,211
1255,535i,211
1256,Competition,211
1257,Competition 35 Jahre Edition,211
1258,Competition Edition,211
1259,M Performance Edition,211
1260,V10,211
1261,V8,211
1262,i,211
1263,i V8,211
1264,V10,212
1265,V8,212
1266,V8,213
1267,Competition ,214
1268,i V8,214
1269,Competition ,215
1270,M8i V8,215
1271,i V8,215
1272,30 Jahre Edition,216
1273,535i,216
1274,Competition,216
1275,Competition 35 Jahre Edition,216
1276,Competition Edition,216
1277,M Performance Edition,216
1278,V10,216
1279,V8,216
1280,i,216
1281,i V8,216
1282,18d,217
1283,18i,217
1284,20d,217
1285,20i,217
1286,25e,217
1287,M Mesh Edition,217
1288,M Sport,217
1289,M Sport X,217
1290,M35i,217
1291,MHT,217
1292,SE,217
1293,Sport,217
1294,18d,218
1295,20d,218
1296,20i,218
1297,30d,218
1298,30e,218
1299,30i,218
1300,35d,218
1301,BluePerformance,218
1302,Limited Sport Edition,218
1303,M Sport,218
1304,M40d,218
1305,M40i,218
1306,M50i,218
1307,MHT,218
1308,Pro Edition,218
1309,SE,218
1310,SE Edition Exclusive,218
1311,SE Edition Premium,218
1312,Sport,218
1313,d,218
1314,i,218
1315,sd,218
1316,si,218
1317,xLine,218
1318,Competition ,219
1319,i,219
1320,20d,220
1321,30d,220
1322,35d,220
1323,M Sport,220
1324,M Sport X,220
1325,M40d,220
1326,M40i,220
1327,MHT,220
1328,SE,220
1329,Sport,220
1330,xLine,220
1331,Competition ,221
1332,i,221
1333,10-Year Edition,222
1334,25d,222
1335,30d,222
1336,30i,222
1337,35d,222
1338,40d,222
1339,40e,222
1340,40i,222
1341,45e,222
1342,50e,222
1343,50i V8,222
1344,Black Vermilion Edition,222
1345,Le Mans Blue Sport Edition,222
1346,M Sport,222
1347,M50d,222
1348,M50i V8,222
1349,M60i,222
1350,MHT,222
1351,SE,222
1352,Sport,222
1353,Sport Exclusive Edition,222
1354,d,222
1355,i,222
1356,i V8,222
1357,iS V8,222
1358,sd,222
1359,si,222
1360,xLine,222
1361,BiTurbo V8,223
1362,Competition,223
1363,First Edition,223
1364,i V8,223
1365,30d,224
1366,35d,224
1367,35i,224
1368,40d,224
1369,40i,224
1370,50i V8,224
1371,Black Vermilion Edition,224
1372,M Sport,224
1373,M50d,224
1374,M50i V8,224
1375,M60i V8,224
1376,MHT,224
1377,SE,224
1378,BiTurbo V8,225
1379,Competition,225
1380,i V8,225
1381,30d,226
1382,40d,226
1383,40i,226
1384,Excellence,226
1385,M Sport,226
1386,M50d,226
1387,M50i V8,226
1388,M60i V8,226
1389,MHT,226
1390,50e,227
1391,Label,227
1392,Label Red,227
1393,Label Red Edition,227
1394,Sport,229
1395,i,229
1396,18i,231
1397,20i,231
1398,23i,231
1399,28i,231
1400,30i,231
1401,35i,231
1402,35is,231
1403,Edition Sport,231
1404,First Edition,231
1405,Handschalter,231
1406,Highline Edition,231
1407,M Sport,231
1408,M Sport Highline Edition,231
1409,M40i,231
1410,SE,231
1411,Sport,231
1412,i,231
1413,si,231
1414,i,232
1415,V8,233
1416,Comfort,237
1417,Design,237
1418,Active,238
1419,Boost,238
1420,Comfort,238
1421,Design,238
1422,Design,239
1423,Excellence,239
1424,Comfort,240
1425,Design,240
1426,Excellence,240
1427,Boost,241
1428,Comfort,241
1429,DM-i,241
1430,Design,241
1431,Sport Luxury ,243
1432,Sport Luxury ,246
1433,Sport Luxury ,247
1434,270,249
1435,360 R,249
1436,360 S,249
1437,420,249
1438,420 R,249
1439,420 S,249
1440,620 R,249
1441,620 S,249
1442,K-Series Super Sport,249
1443,Roadsport,249
1444,Superlight R300,249
1445,Superlight R500,249
1446,Ti-VCT,249
1447,LS,255
1448,LT,255
1449,LTZ,255
1450,S,255
1451,VCDi,255
1452,VCDi ECO,255
1453,V8,258
1454,LS,259
1455,LT,259
1456,LTX,259
1457,LTZ,259
1458,VCDi,259
1459,i,259
1460,2LT,262
1461,3LT,262
1462,V8,262
1463,LS,263
1464,LT,263
1465,LTZ,263
1466,VCDi,263
1467,S,264
1468,SE,264
1469,SX,264
1470,CDX,265
